term,slug,cluster,status,priority,keywords
What is MCP,what-is-mcp,ai-infrastructure,done,2,mcp
What is Machine Learning,what-is-machine-learning,ai-basics,done,1,"machine learning, ML, AI learning, data-driven, predictive model"
What is Midjourney,what-is-midjourney,ai-tools,pending,1,"Midjourney, AI image generation, Midjourney AI, text-to-image, AI art"
What is Model Quantization,what-is-model-quantization,llms,pending,2,"model quantization, quantization, model compression, reduced precision, efficient inference"
What is Multimodal AI,what-is-multimodal-ai,llms,pending,1,"multimodal AI, multimodal model, vision language, text image, cross-modal"
What is Mistral,what-is-mistral,llms,pending,2,mistral
What is Multi Agent System,what-is-multi-agent-system,ai-agents,done,2,multi agent system
What is Model Serving,what-is-model-serving,ai-infrastructure,done,2,"model serving, model deployment, inference server, model hosting, production AI"
What is Model Training,what-is-model-training,ai-basics,done,1,model training
What is MMLU,what-is-mmlu,ai-basics,pending,2,mmlu
What is MLOps,what-is-mlops,ai-infrastructure,pending,2,"MLOps, machine learning operations, model deployment, CI/CD ML, ML pipeline"
What is Model Drift,what-is-model-drift,ai-infrastructure,done,2,"model drift, concept drift, data drift, model degradation, monitoring"
What is Machine Translation,what-is-machine-translation,ai-basics,pending,1,"machine translation, AI translation, neural translation, language translation, Google Translate"
What is Meta Prompting,what-is-meta-prompting,prompt-engineering,done,2,meta prompting
What is Meta AI,what-is-meta-ai,ai-tools,done,2,meta ai
What is Machine Perception,what-is-machine-perception,ai-basics,pending,2,machine perception
What is Machine Understanding,what-is-machine-understanding,ai-basics,pending,1,machine understanding
What is Model Explainability,what-is-model-explainability,ai-safety,pending,1,model explainability
What is Model Interpretability,what-is-model-interpretability,ai-basics,pending,1,model interpretability
What is Metacognition in AI,what-is-metacognition-in-ai,ai-agents,pending,2,metacognition in ai
What is Multi-Class Classification,what-is-multi-class-classification,ai-basics,pending,2,"multi-class classification, multiple classes, classification, categorical output, softmax"
What is Multi-Label Classification,what-is-multi-label-classification,ai-basics,pending,2,"multi-label classification, multiple labels, binary relevance, label combination, multi-output"
What is Model Validation,what-is-model-validation,ai-basics,pending,2,"model validation, validation, testing model, model evaluation, performance check"
What is Model Selection,what-is-model-selection,ai-basics,pending,2,"model selection, choosing model, best model, algorithm selection, model comparison"
What is Model Retraining,what-is-model-retraining,ai-basics,pending,2,"model retraining, retrain, update model, refresh model, continuous learning"
What is Model Inference,what-is-model-inference,ai-basics,pending,2,"model inference, inference, prediction, forward pass, model execution"
What is Monte Carlo Method,what-is-monte-carlo-method,ai-basics,pending,2,"Monte Carlo, random sampling, simulation, stochastic method, probability estimation"
What is Manifold Learning,what-is-manifold-learning,ai-basics,pending,2,"manifold learning, non-linear dimensionality, data manifold, manifold assumption, embedding"
