term,slug,cluster,status,priority,keywords
What is Hallucination in AI,what-is-hallucination-in-ai,ai-basics,done,1,hallucination in ai
What is Hyperparameter Tuning,what-is-hyperparameter-tuning,ai-basics,pending,1,"hyperparameter tuning, hyperparameter optimization, model tuning, grid search, AutoML"
What is Hugging Face,what-is-hugging-face,ai-tools,pending,1,"Hugging Face, HF, AI community, model hub, open-source AI"
What is Hallucination Prevention,what-is-hallucination-prevention,ai-safety,pending,2,hallucination prevention
What is Human in the Loop AI,what-is-human-in-the-loop-ai,ai-agents,pending,1,human in the loop ai
What is Heuristics in AI,what-is-heuristics-in-ai,ai-basics,done,2,heuristics in ai
What is Heuristic,what-is-heuristic,ai-basics,pending,2,"heuristic, problem solving, rule of thumb, mental shortcut, approximation"
What is Human-in-the-Loop,what-is-human-in-the-loop,ai-basics,pending,2,"human in the loop, HITL, human oversight, human feedback, interactive ML"
What is Human-Centered AI,what-is-human-centered-ai,ai-basics,pending,2,"human-centered AI, HCAI, human AI interaction, user-centered AI, ethical AI design"
What is High-Dimensional Data,what-is-high-dimensional-data,ai-basics,pending,2,"high-dimensional data, many features, curse of dimensionality, sparse data, multidimensional"
What is Hybrid AI,what-is-hybrid-ai,ai-basics,pending,2,"hybrid AI, symbolic AI, neural symbolic, combined AI, neuro-symbolic"
What is Hyperautomation,what-is-hyperautomation,ai-basics,pending,2,"hyperautomation, intelligent automation, RPA AI, process automation, automated everything"
What is Human Agent Interaction,what-is-human-agent-interaction,ai-agents,pending,2,"human agent interaction, HAI, human AI team, agent handoff, human oversight"
What is HeyGen AI,what-is-heygen-ai,ai-tools,pending,2,"HeyGen, AI video, avatar, video translation, AI presenter, video generation"
What is Harvey AI,what-is-harvey-ai,ai-tools,pending,2,"Harvey AI, legal AI, law firm AI, legal assistant, AI lawyer"
What is HNSW,what-is-hnsw,ai-infrastructure,pending,2,"HNSW, hierarchical navigable small world, ANN algorithm, vector search, graph index"
What is Hugging Face Transformers,what-is-hugging-face-transformers,ai-infrastructure,pending,2,"Hugging Face, Transformers, model library, NLP library, AI models"
What is Humanoid Robot,what-is-humanoid-robot,ai-robotics,pending,2,"humanoid robot, human-like robot, bipedal, humanoid, android"
What is HumanEval Benchmark,what-is-humaneval-benchmark,ai-research,pending,2,"HumanEval, coding benchmark, code generation, function completion, OpenAI benchmark"
What is Human-in-the-Loop Agent,what-is-human-in-the-loop-agent,ai-agents,pending,2,"human-in-the-loop, HITL agent, human approval, human oversight, human review"
What is Haiper AI,what-is-haiper-ai,ai-creative,pending,2,"Haiper, video generation, AI video tool, text-to-video, video creation"
What is HubSpot AI,what-is-hubspot-ai,ai-tools,pending,2,"HubSpot, AI, CRM, marketing, sales"
What is Haystack,what-is-haystack,ai-infrastructure,pending,2,"Haystack, framework, NLP, pipeline, RAG"
What is Helicone,what-is-helicone,ai-infrastructure,pending,2,"Helicone, observability, LLM, logging, monitoring"
What is Hyperparameter Optimization,what-is-hyperparameter-optimization,ai-infrastructure,pending,2,"hyperparameter, optimization, tuning, ML, search"
What is Hardware AI Accelerator,what-is-hardware-ai-accelerator,ai-infrastructure,pending,2,"hardware accelerator, AI chip, NPU, TPU, GPU"
What is HyDE,what-is-hyde,ai-infrastructure,pending,2,"hyde, hypothetical document embedding, retrieval, ai"
What is Hierarchical Retrieval,what-is-hierarchical-retrieval,ai-infrastructure,pending,2,"hierarchical retrieval, multi-level search, information retrieval, ai"
What is Hybrid Search,what-is-hybrid-search,ai-infrastructure,pending,2,"hybrid search, semantic search, keyword search, fusion"
What is Human Annotation,what-is-human-annotation,ai-data,pending,2,"human annotation, manual labeling, crowd-sourcing, quality"
What is HTML Prompting,what-is-html-prompting,prompt-engineering,pending,2,"html prompting, structured format, markup prompt, html template, tag-based prompting"
What is Healthcare NLP,what-is-healthcare-nlp,ai-healthcare,pending,2,"healthcare nlp, medical nlp, clinical text analysis, medical language processing, health text mining"
What is HBM Memory,what-is-hbm-memory,ai-infrastructure,pending,2,"HBM, High Bandwidth Memory, GPU Memory"
What is HBM3,what-is-hbm3,ai-infrastructure,pending,2,"HBM3, High Bandwidth Memory Gen3, GPU Memory"
What is Hub Dataset,what-is-hub-dataset,ai-infrastructure,pending,2,"Hub Dataset, Dataset Hub, Hub Data Loading"
